Ticker,DateToday,TodayClose,DateTomorrow,Forecast1d,PctChange1d
TMO,2025-11-12,586.49,2025-11-13,563.79,-3.8704837252127144
WMT,2025-11-12,103.44,2025-11-13,102.89,-0.5317092034029414
ABBV,2025-11-12,225.17,2025-11-13,221.79,-1.5010880667939763
JNJ,2025-11-12,193.83,2025-11-13,188.82,-2.58473920445752
BMY,2025-11-12,48.72,2025-11-13,46.2,-5.172413793103436
MRK,2025-11-12,90.95,2025-11-13,86.78,-4.5849367784497
EL,2025-11-12,90.84,2025-11-13,93.03,2.4108322324966958
UNH,2025-11-12,327.45,2025-11-13,337.09,2.943960910062593
NKE,2025-11-12,63.15,2025-11-13,64.8,2.6128266033254244
BDX,2025-11-12,175.46,2025-11-13,183.07,4.337170865154438
FDX,2025-11-12,251.79,2025-11-13,245.25,-2.5974025974025983
LIN,2025-11-12,426.65,2025-11-13,425.82,-0.1945388491737976
BLK,2025-11-12,1085.76,2025-11-13,1090.99,0.4816902446212801
PGR,2025-11-12,219.91,2025-11-13,214.41,-2.5010231458323817
LMT,2025-11-12,457.07,2025-11-13,474.0,3.704027829435308
AMGN,2025-11-12,338.45,2025-11-13,315.33,-6.831141970749
ZTS,2025-11-12,121.28,2025-11-13,137.05,13.00296833773087
APD,2025-11-12,262.23,2025-11-13,255.36,-2.619837547191395
KLAC,2025-11-12,1218.88,2025-11-13,1196.61,-1.8270871619847862
CME,2025-11-12,278.84,2025-11-13,271.22,-2.7327499641371156
VRTX,2025-11-12,422.47,2025-11-13,416.78,-1.3468411958245663
MDT,2025-11-12,95.4,2025-11-13,92.79,-2.7358490566037674
REGN,2025-11-12,674.55,2025-11-13,640.62,-5.030020013342218
GOOGL,2025-11-12,291.31,2025-11-13,281.86,-3.2439669081047673
LLY,2025-11-12,988.62,2025-11-13,920.35,-6.905585563715078
CI,2025-11-12,263.13,2025-11-13,267.32,1.5923687910918582
ADP,2025-11-12,255.2,2025-11-13,259.35,1.626175548589348
QCOM,2025-11-12,173.98,2025-11-13,174.82,0.4828141165651223
DHR,2025-11-12,215.79,2025-11-13,213.74,-0.9499976829324686
RTX,2025-11-12,179.22,2025-11-13,177.93,-0.7197857381988526
MMC,2025-11-12,181.92,2025-11-13,181.04,-0.4837291116974507
BA,2025-11-12,195.21,2025-11-13,201.5,3.222170995338347
GS,2025-11-12,810.31,2025-11-13,788.96,-2.6347940911502943
JPM,2025-11-12,315.62,2025-11-13,309.83,-1.8344845066852633
HCA,2025-11-12,468.08,2025-11-13,460.31,-1.6599726542471327
HON,2025-11-12,200.41,2025-11-13,198.52,-0.9430667132378501
AMZN,2025-11-12,249.1,2025-11-13,244.34,-1.9108791649939727
C,2025-11-12,100.76,2025-11-13,100.12,-0.6351726875744368
MA,2025-11-12,558.35,2025-11-13,557.45,-0.16118921823228272
ORCL,2025-11-12,236.15,2025-11-13,247.18,4.670760110099503
MSFT,2025-11-12,508.68,2025-11-13,511.07,0.4698435165526371
META,2025-11-12,627.08,2025-11-13,633.97,1.098743382024625
UPS,2025-11-12,95.03,2025-11-13,92.73,-2.4202883300010525
AVGO,2025-11-12,351.96,2025-11-13,357.55,1.5882486646209948
AAPL,2025-11-12,275.25,2025-11-13,267.37,-2.8628519527702068
MS,2025-11-12,166.5,2025-11-13,163.47,-1.8198198198198234
LRCX,2025-11-12,162.6,2025-11-13,156.67,-3.646986469864699
CAT,2025-11-12,567.93,2025-11-13,565.12,-0.4947792861796252
